                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 0.4643,                0.33189,                0.90848,                0.90508,                 0.9171,                0.94247,                0.80329,                0.66475,                0.46968,                0.97876,              8.716e-05,              8.716e-05,              8.716e-05
                     81,                0.48248,                0.33818,                 0.9177,                0.92298,                0.91342,                0.94619,                0.80372,                0.66497,                0.46122,                0.98763,               8.32e-05,               8.32e-05,               8.32e-05
                     82,                0.46506,                0.32488,                0.91302,                0.91127,                0.92902,                0.95098,                0.81039,                0.66869,                0.44724,                0.98171,              7.924e-05,              7.924e-05,              7.924e-05
                     83,                0.45258,                0.32405,                0.91055,                0.94962,                0.90163,                0.94916,                0.80652,                0.67178,                0.44091,                0.98677,              7.528e-05,              7.528e-05,              7.528e-05
                     84,                0.46334,                0.32199,                 0.9102,                0.93544,                0.91204,                0.94624,                0.80632,                0.67027,                0.44743,                0.98405,              7.132e-05,              7.132e-05,              7.132e-05
                     85,                0.45656,                0.31484,                0.90886,                0.94762,                0.90306,                0.94735,                0.80295,                0.67329,                0.44567,                0.98803,              6.736e-05,              6.736e-05,              6.736e-05
                     86,                0.44687,                0.31655,                0.91202,                0.93735,                0.91092,                0.94705,                0.80434,                 0.6701,                0.43904,                0.98391,               6.34e-05,               6.34e-05,               6.34e-05
                     87,                0.45095,                0.31731,                0.91315,                0.94959,                0.90048,                 0.9491,                0.80814,                0.66546,                0.44539,                0.97876,              5.944e-05,              5.944e-05,              5.944e-05
                     88,                0.44791,                0.31289,                0.91347,                 0.9131,                0.93083,                0.95114,                0.80884,                0.66581,                 0.4373,                0.98426,              5.548e-05,              5.548e-05,              5.548e-05
                     89,                0.44199,                0.32175,                 0.9076,                0.91361,                0.92337,                0.94938,                0.80994,                0.66456,                0.44205,                0.97794,              5.152e-05,              5.152e-05,              5.152e-05
                     90,                0.43363,                0.30542,                0.90206,                0.92492,                0.92555,                0.95235,                0.81385,                0.66429,                 0.4353,                0.97797,              4.756e-05,              4.756e-05,              4.756e-05
                     91,                0.36777,                0.22288,                0.83901,                0.89916,                0.93451,                0.95061,                0.81091,                0.67821,                0.44432,                0.98942,               4.36e-05,               4.36e-05,               4.36e-05
                     92,                0.35779,                0.20992,                0.83421,                0.91826,                0.93074,                0.95295,                0.81022,                0.67871,                 0.4357,                0.99226,              3.964e-05,              3.964e-05,              3.964e-05
                     93,                0.34838,                0.20203,                0.83204,                0.91962,                0.93286,                0.95326,                0.81128,                0.67519,                0.43695,                0.98757,              3.568e-05,              3.568e-05,              3.568e-05
                     94,                0.35127,                0.20003,                0.82895,                0.93543,                0.91879,                0.95058,                0.81357,                0.67634,                 0.4449,                0.98756,              3.172e-05,              3.172e-05,              3.172e-05
                     95,                0.34121,                0.19554,                0.82829,                0.92684,                0.93022,                0.94802,                0.80939,                0.67611,                 0.4447,                0.98815,              2.776e-05,              2.776e-05,              2.776e-05
                     96,                0.33582,                 0.1946,                0.83118,                0.92784,                0.92391,                0.95031,                0.81542,                0.66887,                 0.4368,                0.98495,               2.38e-05,               2.38e-05,               2.38e-05
                     97,                0.33448,                0.19167,                   0.83,                0.91642,                0.92655,                0.95042,                0.81819,                0.66664,                0.43544,                0.98285,              1.984e-05,              1.984e-05,              1.984e-05
                     98,                0.33708,                0.19214,                0.82657,                0.94732,                0.90488,                0.95045,                0.81389,                0.66884,                0.43779,                0.98293,              1.588e-05,              1.588e-05,              1.588e-05
                     99,                0.33393,                 0.1879,                0.83038,                0.91905,                0.93028,                 0.9497,                0.81461,                 0.6682,                0.43924,                0.98194,              1.192e-05,              1.192e-05,              1.192e-05
                    100,                0.33101,                0.18968,                0.82143,                 0.9226,                0.92585,                0.94949,                0.81235,                0.66873,                0.44239,                0.98252,               7.96e-06,               7.96e-06,               7.96e-06
